RouteID,VehicleCount,AverageSpeed,MaximumSpeed,MinimumSpeed,AverageLatitude,AverageLongitude,AverageBearing
132707,1,0.0,0.0,0.0,52.52115249633789,-1.4707280397415161,306.0
5787,4,0.0,0.0,0.0,51.34480953216553,-0.493661992251873,134.0
8602477,1,0.0,0.0,0.0,54.30595779418945,-0.4267610013484955,-1.0
8642718,5,0.0,0.0,0.0,51.38488693237305,0.10509519875049592,72.0
96068,6,0.0,0.0,0.0,51.604469299316406,-1.3006861607233684,98.0
131953,3,0.0,0.0,0.0,53.18974939982096,0.0658680001894633,144.0
82035,1,0.0,0.0,0.0,53.55542755126953,-2.621450901031494,211.0
6770317,1,0.0,0.0,0.0,51.56730651855469,0.4520150125026703,-1.0
10277864,2,0.0,0.0,0.0,52.79937553405762,-1.6327170133590698,128.0
57434,1,0.0,0.0,0.0,52.98128890991211,-0.019500000402331352,25.0
132196,8,0.0,0.0,0.0,53.45390462875366,-3.0039841532707214,218.25
532816,5,0.0,0.0,0.0,40.43446502685547,-2.803925800323486,75.6
104012,1,0.0,0.0,0.0,50.73446273803711,-3.516202926635742,264.0
12019925,9,0.0,0.0,0.0,51.45750257703993,-0.06246311145110263,145.0
6073,1,0.0,0.0,0.0,50.432769775390625,-3.5616869926452637,78.0
138015,2,0.0,0.0,0.0,51.405202865600586,-0.2266860008239746,247.5
1982,1,0.0,0.0,0.0,51.896549224853516,-1.1589399576187134,26.0
14837,1,0.0,0.0,0.0,51.753440856933594,-0.8983489871025085,273.0
130520,1,0.0,0.0,0.0,52.53773498535156,-1.9858230352401733,102.0
8340,1,0.0,0.0,0.0,54.478843688964844,-0.6143159866333008,98.0
105672,1,0.0,0.0,0.0,0.0,0.0,0.0
14186,2,0.0,0.0,0.0,51.765296936035156,-1.5554825067520142,190.0
8488,4,0.0,0.0,0.0,52.60097026824951,-2.0523177683353424,96.0
10112,4,0.0,0.0,0.0,50.742082595825195,-3.0331620573997498,73.75
3532921,2,0.0,0.0,0.0,52.646541595458984,-1.1152809858322144,152.0
133319,1,0.0,0.0,0.0,51.7135124206543,-3.446852922439575,162.0
45684,1,0.0,0.0,0.0,53.37961959838867,-2.766774892807007,355.0
6849,5,0.0,0.0,0.0,53.372467041015625,-1.503515625,130.4
