Operator,TotalServices,UniqueServices,UniqueRoutes,TotalTrips,AverageTrips,MaximumTrips,MinimumTrips,TotalStops,AverageStops,MaximumStops,MinimumStops,PerformanceScore
TM Travel,29,22,22,1650,56.89655172413793,164,2,2779,95.82758620689656,173,23,2043.7
Crosskeys Coaches,6,5,6,12,2.0,2,2,122,20.333333333333332,61,7,181.4
Bayliss Executive Travel,2,1,1,4,2.0,2,2,98,49.0,49,49,56.0
Cresta Coaches,7,7,7,21,3.0,5,1,289,41.285714285714285,83,19,270.1
Tyrers Coaches,7,3,3,103,14.714285714285714,27,1,532,76.0,175,22,275.8
Blueworks Taxis,14,7,5,52,3.7142857142857144,6,1,579,41.357142857142854,77,12,339.5
CT4N Ltd,31,19,21,388,12.516129032258064,33,2,2767,89.25806451612904,152,26,1490.3
Belle Coaches,3,3,3,6,2.0,2,2,119,39.666666666666664,49,24,113.1
Sanders Coaches,130,58,64,2814,21.646153846153847,141,2,7203,55.40769230769231,151,7,4826.5
TK Travel,3,3,3,15,5.0,5,5,13,4.333333333333333,6,3,84.9
Langston & Tasker,4,4,4,16,4.0,10,2,95,23.75,68,6,134.9
Edward Thomas,2,2,2,19,9.5,17,2,60,30.0,58,2,75.6
Sweynes,1,1,1,2,2.0,2,2,18,18.0,18,18,31.2
Minsterley Motors Ltd,13,6,8,143,11.0,25,2,955,73.46153846153847,110,30,523.7
Linden Holdings,21,21,20,71,3.380952380952381,8,2,768,36.57142857142857,98,5,768.8
Durham County Council,21,18,17,471,22.428571428571427,63,2,1710,81.42857142857143,189,8,1136.4
Bennetts Coaches,15,15,15,70,4.666666666666667,42,2,197,13.133333333333333,25,9,462.1
Coastal & Country Coaches,7,2,2,50,7.142857142857143,9,6,112,16.0,16,16,103.6
Gateshead Central Taxis,64,33,38,1605,25.078125,94,1,2908,45.4375,146,6,2414.4
BM Coaches,2,2,2,65,32.5,48,17,12,6.0,7,5,79.6
Gem Travel,1,1,1,2,2.0,2,2,26,26.0,26,26,33.6
ZandS Transport,17,14,17,99,5.823529411764706,25,2,662,38.94117647058823,98,4,633.2
CT Coaches,4,1,4,36,9.0,16,6,101,25.25,29,21,114.7
LMS Travel Ltd,18,8,12,122,6.777777777777778,17,1,871,48.388888888888886,88,8,570.1
Vickery’s Coaches,1,1,1,0,0.0,0,0,9,9.0,9,9,27.7
National Express West Midlands,266,152,118,80802,303.76691729323306,1481,1,26380,99.17293233082707,275,15,43524.8
Nottingham City Transport Ltd,41,39,39,10850,264.6341463414634,573,0,3268,79.70731707317073,149,29,6295.4
Dan's Coach Travel,1,1,1,13,13.0,13,13,141,141.0,141,141,72.5
SMT Bus and Coach,4,3,4,139,34.75,94,9,167,41.75,96,21,195.7
Reading Buses,98,40,73,7117,72.62244897959184,668,1,5374,54.83673469387755,151,5,5954.0
Faversham,2,2,2,12,6.0,6,6,101,50.5,57,44,85.1
Transport Made Simple,549,159,185,5851,10.657559198542804,71,1,39038,71.10746812386157,179,5,18416.8
Cavern City Tours,1,1,1,14,14.0,14,14,10,10.0,10,10,33.6
CTSW,1,1,1,31,31.0,31,31,66,66.0,66,66,57.2
Jim Hughes Coaches,87,82,83,184,2.1149425287356323,22,1,2930,33.67816091954023,103,2,3017.6
Solus Coaches,5,5,5,69,13.8,27,5,73,14.6,29,8,174.5
Falcon Buses,83,27,27,1195,14.397590361445783,69,1,9098,109.6144578313253,189,26,3882.4
trentbarton,39,34,34,10069,258.1794871794872,624,34,4826,123.74358974358974,395,7,6325.4
Discover Dorset,1,1,1,32,32.0,32,32,93,93.0,93,93,65.7
Mikro coaches,1,1,1,10,10.0,10,10,87,87.0,87,87,55.1
Heatons Coaches,1,1,1,2,2.0,2,2,77,77.0,77,77,48.9
Stephensons of Essex Ltd,96,67,96,1124,11.708333333333334,80,1,5804,60.458333333333336,200,5,4300.8
N.N. Cresswell,1,1,1,13,13.0,13,13,28,28.0,28,28,38.6
Peoples Bus,3,3,2,3,1.0,1,1,79,26.333333333333332,62,6,84.9
Stevenson's Travel,2,1,2,9,4.5,5,4,76,38.0,39,37,66.4
Tanat Valley Coaches,26,22,24,270,10.384615384615385,34,2,1134,43.61538461538461,116,6,1028.2
OTS,14,7,14,313,22.357142857142858,56,1,699,49.92857142857143,105,15,614.9
Kempsford UK,4,4,4,65,16.25,21,10,189,47.25,66,25,182.7
City Transport Group,6,3,3,386,64.33333333333333,133,14,152,25.333333333333332,30,21,275.0
PC Coaches of Lincoln,53,44,45,526,9.924528301886792,86,2,2677,50.509433962264154,101,7,2128.5
Redwoods Travel,3,3,3,6,2.0,2,2,102,34.0,47,21,108.0
Ensign Bus Co Ltd,64,12,12,1694,26.46875,77,1,3639,56.859375,153,9,2069.3
Coopers Tours Ltd,4,4,4,10,2.5,4,2,141,35.25,62,7,146.3
Star Cabs,7,7,7,67,9.571428571428571,38,1,400,57.142857142857146,103,21,321.8
Bennetts Travel,3,3,3,41,13.666666666666666,28,5,23,7.666666666666667,9,5,98.3
Hornsby Travel Service Ltd,13,13,12,451,34.69230769230769,99,12,779,59.92307692307692,148,9,724.1
Rotala Group of Companies,398,143,163,11612,29.175879396984925,168,1,58903,147.99748743718592,1373,2,26190.7
Huyton Travel,51,29,42,1168,22.901960784313726,104,1,2999,58.80392156862745,211,7,2286.9
Nottinghamshire County Council Fleet Services,14,14,14,180,12.857142857142858,42,4,809,57.785714285714285,139,13,664.7
Grayscroft Coaches,8,8,8,33,4.125,11,2,724,90.5,136,37,430.4
Dartline Coaches,50,47,49,953,19.06,216,2,2559,51.18,130,3,2353.9
Rajinder Banga,17,5,6,716,42.11764705882353,87,10,1218,71.6470588235294,94,59,791.8
Coastal Red Limited,66,17,25,736,11.151515151515152,56,1,5451,82.5909090909091,204,10,2474.7
Cotswold Green,15,11,15,109,7.266666666666667,26,2,831,55.4,106,12,627.9
Faresaver Buses,50,33,50,1053,21.06,169,1,2816,56.32,168,8,2346.0
C G Myall & Son,3,3,3,6,2.0,2,2,130,43.333333333333336,65,14,116.4
Lords Travel,8,3,3,8,1.0,1,1,156,19.5,22,17,125.0
Weardale Motor Services,31,14,14,791,25.516129032258064,58,2,1995,64.35483870967742,138,8,1264.9
Archway Travel,5,5,5,278,55.6,76,2,847,169.4,183,151,490.3
AC Williams,1,1,1,2,2.0,2,2,49,49.0,49,49,40.5
Walsall Community Transport,12,1,6,166,13.833333333333334,20,5,830,69.16666666666667,146,20,415.4
Transport for Greater Manchester,1453,568,566,42900,29.525120440467997,612,1,125426,86.32209222298692,233,6,68957.8
Masons Travel,16,8,8,32,2.0,2,2,1325,82.8125,145,29,610.3
Rambler Coaches,8,6,6,16,2.0,2,2,1015,126.875,254,21,460.9
Celtic Travel,3,3,3,37,12.333333333333334,33,2,274,91.33333333333333,135,62,172.0
